,Unnamed: 0,"('IPCC 2013, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=1, C1_36')","('IPCC 2013, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=0, C1_36')","('IPCC 2007, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=1')","('IPCC 2007, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=0')","('SWOLF_Acidification', 'SWOLF')","('SWOLF_Eutrophication', 'SWOLF')","('SWOLF_CED', 'SWOLF')","('CML (v4.4, 2015)', 'resources', 'depletion of abiotic resources - elements, ultimate reserves')","('Land_app', 'cmpLandDies')","('Land_app', 'NO3')","('Land_app', 'frac_gw')","('Land_app', 'MFEN')","('Land_app', 'MFEP')","('Land_app', 'MFEK')","('Land_app', 'DslAppN')","('Land_app', 'DslAppP')","('Land_app', 'DslAppK')","('Land_app', 'R_NO3')","('Land_app', 'R_N2O')","('Land_app', 'R_NH3')","('Land_app', 'PeatSubFac')","('Land_app', 'densPeat')","('Land_app', 'moistPeat')","('Land_app', 'CContPeat')","('Land_app', 'CstorePeat')","('Land_app', 'perN2Oevap')","('Land_app', 'perNH3evap')","('Land_app', 'perNasNH3fc')","('operation', 'allocation_ADC')","('Material_Properties', 'mcFC')","('Material_Properties', 'densFC')","('Soil_seq', 'perCStor')","('initflow', 'C_cont')","('initflow', 'N_cont')","('initflow', 'P_cont')","('initflow', 'K_cont')","('Lanfill', 'CH4_Collected')","('Lanfill', 'Frac_oxidized')","('Lanfill', 'Frac_flared')","('Lanfill', 'percCStor_LF')","('Lanfill', 'Elec_eff')","('Lanfill', 'frac_CH4')","('Lanfill', 'DC_subs_fac')","('Lanfill', 'Soil_dens')","('Lanfill', 'DC_thickness')","('Lanfill', 'ADC_thickness')","('Lanfill', 'Frac_NH4')","('Lanfill', 'LCRS_eff')","('Lanfill', 'NH4_rmv_eff')","('Lanfill', 'Grid_mix')"
Unnamed: 0,1.0,-0.006677711594203757,0.0013474864012702479,-0.006574744531522852,0.001548251701182417,0.0002519961841973073,0.005525601147022658,-0.002965087429524424,0.00966491453605352,-0.005033881362942796,0.007005160482490181,0.0007462482453822397,-0.007701480059924708,-0.022210239106713502,-0.004988962672516386,0.002629727388525553,-0.00198334651571525,0.0012019522027574587,-0.0068756172844656035,0.0013416520802520227,-0.0093156551323255,-0.008964967627075977,0.009553796056707545,-0.0017272313780243751,0.0016666169827677332,0.003125170385569985,0.0056268314728306415,0.0013251876630723783,-0.0032664005456173556,-0.001491374169543131,-0.00471057317518773,0.00032864406285743205,-0.0014361821480235579,-0.012265188732568584,-0.008282990263461461,-0.0007039494520568135,0.0042977513058279375,-0.0038422154927517456,-0.0018022318752181502,0.0022501814932396227,-0.0032117263615202363,0.007610323514441956,-0.0023201109092578598,0.0018666922097275403,-0.003203171389647354,-0.0012303529994912106,0.009849433795513316,-0.004455749937494019,-0.005931449346216846,-0.008358629441803215,-0.004893617135001283
"('IPCC 2013, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=1, C1_36')",-0.006677711594203757,1.0,0.10908126556617612,0.9999374559705139,0.11716414442886147,0.12054123557687141,0.16189229108887132,0.2738964169699597,-0.10548312564478418,-0.004786714255119431,-0.006325024021630544,-0.008233059812169324,-0.1322281485962383,0.004339334425781606,-0.00694243062420945,0.011637146200106785,0.0035365730764018995,-0.010984501560786444,-0.003994661096219572,-0.0115985220895858,0.014308750585710727,-0.04133980895992512,-0.25986517878184184,0.09505450556414946,-0.05081369233421459,0.047204512329951924,0.01936256889160772,-0.002798401313398289,-0.00983087998592983,-0.0040712587277637775,-0.4766035958952686,0.14897867067076462,-0.08449493718618914,0.7691881140037853,-0.03208410769745634,-0.008118343488710598,-0.0306127944461731,0.010333799044347832,-0.0022109190489951,0.0025521903723973905,0.000894003015271448,-0.013988987266103477,0.011534737861826558,0.005317901378684918,0.003189529346793064,0.004611037900471141,-0.004443457125884521,0.005898025671780159,0.0021757427045205296,-0.0012079800771802175,0.001279750320697101
"('IPCC 2013, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=0, C1_36')",0.0013474864012702479,0.10908126556617612,1.0,0.10909379361634479,0.9995200863091523,0.06839921205352917,-0.020318278512513298,0.8439771210151191,0.33286301302760724,0.009562905483875393,-0.010038868353331601,-0.00735226357352901,-0.3032527839743571,-0.0003087677850906705,-0.009907568672246668,-0.007473606578243915,-0.0019496051875407688,0.004439023120334125,-0.00356216910370739,-0.03553602338035248,-0.0021312342742495958,-0.10274383133903443,-0.665600676882449,0.26050097333327404,-0.14259522225006177,0.1085616010278361,0.0748812677036603,-0.012349001614016463,0.005043580354617513,0.014980605481276953,0.18724369021533105,0.3886330577730169,-0.23718393395799667,-0.19594220794781914,-0.03878174408661343,-0.0037149311844414624,-0.03266597338561265,-0.00043572057651489703,0.0013861017793450905,-0.0016831916920348258,-0.002914035331548269,0.002809767468911468,0.0007967122928546006,-0.002011388831816777,0.006102271540891773,0.0022691093785787786,0.006381592481385731,-0.003422136467395825,0.0019312574136920969,-0.006664532318453852,0.0013014456818079263
"('IPCC 2007, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=1')",-0.006574744531522852,0.9999374559705139,0.10909379361634479,1.0,0.11750916133288254,0.12477777549662435,0.16720343585067496,0.27151939050946655,-0.10725526233683982,-0.00482705379643068,-0.006325016469579895,-0.008277854641882782,-0.13780463395708753,0.0044781528382885115,-0.006725858729237123,0.011689515122656983,0.0036102679755255444,-0.011047443484071922,-0.004019385785381897,-0.013369255587874086,0.014252606921837023,-0.041167599347980983,-0.2581406831427486,0.0949283992540336,-0.050604683347174655,0.047158894311749536,0.022665641706228427,-0.002701895492142134,-0.009849301868736981,-0.004018694407412372,-0.4804656372033116,0.14797857255723745,-0.08434975276143396,0.7667737300699191,-0.026010058611560884,-0.007971715003995902,-0.028450034880904588,0.010375447730631905,-0.002139495696986084,0.0025979554443539836,0.0008775283997952722,-0.01388479586803583,0.011489770569617141,0.0054813084521007005,0.0032351130529983743,0.004577653797296314,-0.0045230921337202174,0.005824449504327429,0.002050231991007749,-0.0011941728654169263,0.001268008314220962
"('IPCC 2007, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=0')",0.001548251701182417,0.11716414442886147,0.9995200863091523,0.11750916133288254,1.0,0.08050653463475844,-0.004418323904955983,0.8389765028601627,0.32486652752155804,0.009431591659244069,-0.01005339620034965,-0.007534348034234564,-0.31733209287164155,9.941913337888231e-05,-0.009242605995151865,-0.007199473893379038,-0.001732428160146761,0.0042026211057341785,-0.0036690454799098615,-0.040207367647573114,-0.0021822267862081916,-0.10258279050923112,-0.6627971678475021,0.26081844221093003,-0.14238061524487944,0.1087631082892957,0.08356130032243798,-0.012096831166834139,0.004883699016706463,0.015070213540390415,0.17189630462902433,0.38700845187605326,-0.23734098439523843,-0.19607095195010593,-0.02200789402180747,-0.0033529984090173116,-0.026026039213440526,-0.00023588459774381018,0.0015687324606988649,-0.0015393376349612908,-0.0029835747192986754,0.002975987985504502,0.0007777181137181501,-0.0015225259738366355,0.0062410078024704085,0.002227443288070267,0.006145664675236287,-0.0035525234076932465,0.0015977878408290082,-0.006653911581196699,0.0012961025512812296
"('SWOLF_Acidification', 'SWOLF')",0.0002519961841973073,0.12054123557687141,0.06839921205352917,0.12477777549662435,0.08050653463475844,1.0,0.2771033648848412,0.008534026473588028,-0.08487906171521806,0.01108877307523895,0.00916779554680626,0.0032711170455494436,-0.26697867285433013,0.011101862137114442,-0.0041570938103004705,0.00863832403314729,-0.005776025433235493,-0.011489256567866807,0.0035290214546009747,0.003222715321140568,-0.017061256927972467,0.008168346755955127,-0.02603649018981633,0.0031839117485652968,0.009071816859453043,-0.004802218333123667,-0.009109353906825744,0.1886195249907378,0.7815509445775183,0.011327614869739662,-0.1849299896075638,0.009578720962817462,-0.004623775208317198,-0.010490877916582835,0.2994648339769241,-0.01663057712791013,-0.0519195444964492,-0.008385184001050722,0.01025661701957814,-0.006618799430809104,0.004920935921130403,-0.013012277869625177,0.009574605359720595,0.001839023598480918,-0.001080461664946551,-0.01088701716597147,0.005548401133917768,0.006684455610783463,-0.009379777166825871,-0.009721429639996376,-0.0017229775267834882
"('SWOLF_Eutrophication', 'SWOLF')",0.005525601147022658,0.16189229108887132,-0.020318278512513298,0.16720343585067496,-0.004418323904955983,0.2771033648848412,1.0,-0.062206949310153435,-0.31968247057922616,0.003880381386396858,0.7205434877294618,-0.009889564336983398,-0.168416638213502,0.007777282407028455,-0.00038106003086771123,-0.00032067190786852116,0.0011786219705971096,-0.0012580821962069823,-0.08985193438611384,0.0005553416155317229,-0.008523400341011034,0.0018755212067010326,-0.0029377512344990263,0.007833944883568936,0.011886418825511004,-0.0016055161209556237,-0.00831625022682765,-0.0009791301044200433,0.01858323004553032,3.521815320499139e-05,-0.32617512311481817,0.007069759792742181,0.003280406615796254,-0.008793647961428196,0.45833139874086015,0.005708152763616307,-0.006027113471392444,-0.006258878615087974,0.010566237786079723,0.016094081209204966,-0.007249218429896917,0.010989986102849998,0.004992893436487006,-0.0013587240257475935,0.012720847521163136,0.004597437994196233,-0.005657030681257081,-0.00283668416149166,-0.008524404203625935,-0.010919478985180633,0.00043851729903053273
"('SWOLF_CED', 'SWOLF')",-0.002965087429524424,0.2738964169699597,0.8439771210151191,0.27151939050946655,0.8389765028601627,0.008534026473588028,-0.062206949310153435,1.0,0.223577632324359,0.01026162435482393,-0.0045584702505371485,-0.006091824194462411,-0.13072984554453138,-0.007166224078997326,-0.007036754803124174,-0.0025663393541032454,-0.0017115953360582856,-0.002521116065917354,-0.0043177633992675865,0.003512357106884273,0.0007566170981883371,-0.12824250936293408,-0.8216791223299782,0.0016803321663963905,-0.003492945435598176,0.00606468824577582,0.0018728153703424025,-0.011434337229150575,0.003372510049692756,0.01387984315681807,0.10636762047213409,0.4814991994254392,0.005176166566651724,0.0061431261431255345,-0.11551929591628396,0.0016072249847897168,-0.020563869822395938,-0.0021681658876140804,0.009369235355712068,-0.0012104334878223347,-0.001672955339278562,-0.002529551955766575,0.005875936941225499,-0.004890061206222371,0.004781117597247761,0.00695748703169345,0.008404170787528918,-0.0008855259747814041,0.001759523343235442,-0.006896161639436448,-0.0031024492416347736
"('CML (v4.4, 2015)', 'resources', 'depletion of abiotic resources - elements, ultimate reserves')",0.00966491453605352,-0.10548312564478418,0.33286301302760724,-0.10725526233683982,0.32486652752155804,-0.08487906171521806,-0.31968247057922616,0.223577632324359,1.0,-0.0020086485273607857,-0.012842722274762299,-0.0031449033686835187,-0.59108905454029,-0.005089805687150354,-0.004871192721736478,-0.010763019842702537,0.003925355162121532,-0.009399495948530817,-0.001340250500106606,0.0015908571837200494,0.0030406569525027933,0.011976734048200422,-0.0155666302186886,-0.009239821160232035,-0.002953078469787571,0.0005429422459028467,0.006663430998243763,-0.0033320908180480852,0.007550947097496736,0.0049740730511469815,0.4646365877262467,-0.0026312901526404277,-0.0073587255706873906,0.01044733118770248,-0.5876323021994042,-0.05832743308738617,-0.012060132654032874,-0.0020856598517662948,-0.0018692697525286872,-0.003651627144870663,0.01012654512632805,-0.003002006342971091,-0.0034647048497105687,-0.004145310866306197,0.003114002624936393,-0.004646700114771147,-0.004781112380336381,-0.008386343438060594,0.005344037291908039,0.011375700790546627,-0.007519774749754976
"('Land_app', 'cmpLandDies')",-0.005033881362942796,-0.004786714255119431,0.009562905483875393,-0.00482705379643068,0.009431591659244069,0.01108877307523895,0.003880381386396858,0.01026162435482393,-0.0020086485273607857,1.0,0.008190815618962488,-0.01074884735902774,0.01009128846591044,-0.002294476825658148,-0.002913484607044438,-0.00964568010003444,-0.007095836947782796,-0.007535024240125154,0.011629698195143446,-0.007343785731167228,-0.008133646883635041,-0.004873311820574226,0.0015940537316256134,0.0009181027046528191,-0.006534601735140122,0.0012137719957560583,0.0027077288367822116,-0.0038337909279309956,0.00029811022828702007,0.004092054821131394,0.0019130062790625845,0.0065282151362551525,0.0022388393847196913,-0.009612915335774488,-0.001293939878666953,0.008468094414713339,0.007962227321758416,-0.001880462434666874,0.0034963743724406053,-0.005643201000200907,0.0026244725574383503,0.0035847484132555843,-0.008170649324535225,-0.003225347430808021,0.00048359347582080435,0.0005106918501272003,-0.005293057576140428,0.005441552285861567,0.0012431669634065435,-0.003969446967008566,-0.0022329685328878147
"('Land_app', 'NO3')",0.007005160482490181,-0.006325024021630544,-0.010038868353331601,-0.006325016469579895,-0.01005339620034965,0.00916779554680626,0.7205434877294618,-0.0045584702505371485,-0.012842722274762299,0.008190815618962488,1.0,-0.0023827839420256236,0.010625382133826593,0.00852735891191873,0.0008180834229412975,-0.004503442609610505,0.0010910801286439283,0.0011298777773616961,0.001611500492002548,0.006276806971241055,-0.00671066609265354,0.012074080770192454,-0.0007475570983432575,0.005074537381646804,0.006743181671500023,-0.010581349407430777,0.0038814492630542814,-0.0028669079603394205,0.01028266257369303,-0.003106578960805663,-0.0014185204838109882,-0.0015742428224609004,0.01251583421941015,-0.00393194732466283,0.00897565386932801,0.005816304953607775,0.0026261390248162844,-0.009141270926897642,0.011791505810979614,0.020067355826311164,-0.00050002423768576,0.007942438451399943,0.0038851205729936314,-0.014718533605745517,0.010663542708609192,0.0006565408260685447,-0.004839739650311196,-0.0029879884144180776,-0.004875779397669468,-0.004226107246138157,-0.003016287820015596
"('Land_app', 'frac_gw')",0.0007462482453822397,-0.008233059812169324,-0.00735226357352901,-0.008277854641882782,-0.007534348034234564,0.0032711170455494436,-0.009889564336983398,-0.006091824194462411,-0.0031449033686835187,-0.01074884735902774,-0.0023827839420256236,1.0,0.004709741630001634,-0.002540415796374304,-0.007701243932716041,0.012961707851714197,-0.0014167881381947126,-0.00022446987670837545,0.009926999254331532,0.0061519998128213745,0.010821981433421198,-0.00799626536493542,0.006781410754539383,-0.005901699853198394,-0.0009333846439316863,-0.010578858797769552,0.003982602386243182,0.002664246829998462,0.013855332450493923,-0.011716764196245438,0.0019589564668004316,0.0006603128732746398,-0.0023227744743584337,-0.007158601317416647,-8.348084676604587e-05,-0.005417262095297155,-0.007616046930351763,-0.01127834733549854,-0.014579883417986219,-0.003922711714999724,-0.006494177441046773,-0.005129239257119986,0.008897577626974965,0.002593056662915676,0.0007336889973340219,0.003887493711784574,0.007000559964805865,0.009125937215971327,0.0002940137466334901,0.007223553785832497,-0.007749992895778829
"('Land_app', 'MFEN')",-0.007701480059924708,-0.1322281485962383,-0.3032527839743571,-0.13780463395708753,-0.31733209287164155,-0.26697867285433013,-0.168416638213502,-0.13072984554453138,-0.59108905454029,0.01009128846591044,0.010625382133826593,0.004709741630001634,1.0,-0.007464641018109565,0.0003779316296647526,0.005755044124164253,-0.0006890287919636098,0.0046996377259647315,0.004117492984556462,-0.0005693123199036041,-0.005799326513894453,-0.005389032612831763,0.009336580710040778,-0.000489539779881028,0.005575960638366368,-0.0050689647830428905,0.0002269744474690703,-0.0010495003675524918,-0.010969817515242905,-0.006175167462379435,0.0013010750501004109,0.005364242111738344,0.007248717985670165,-0.004746207673935975,0.003815786531727412,0.002534104035831965,-0.0051136777577965534,-0.005606348164333365,-0.003965965021382566,-0.002408152742004239,-0.00877516005203747,-0.00544143412670497,0.004498818465743817,-0.00450187030388944,-0.004710142359827862,0.0041700834660052906,0.00879539698890502,0.010747242143436645,3.454192807982771e-05,-0.007620980001797166,0.001713452848599159
"('Land_app', 'MFEP')",-0.022210239106713502,0.004339334425781606,-0.0003087677850906705,0.0044781528382885115,9.941913337888231e-05,0.011101862137114442,0.007777282407028455,-0.007166224078997326,-0.005089805687150354,-0.002294476825658148,0.00852735891191873,-0.002540415796374304,-0.007464641018109565,1.0,-0.009077569279491304,-0.007071293481458646,0.006203254526339146,-0.004929490436833079,-0.0012261249910112306,0.004382379688627844,-0.011593158730355442,0.019538644570539193,0.0002297196201721385,0.009229655489224225,0.0008420750400917554,0.01629993686851944,0.010732312144951727,0.0027150464820531973,0.010207165794518363,0.008715333499659996,-0.0034874417360420233,-0.007423797920603664,0.0055782460056898586,0.0012347064276169175,0.0017791321722582048,-0.014063448049687352,0.01196411591811266,0.00030089813555509505,-0.01473141890638096,-0.0002229673595435033,0.008654309142504937,0.0006371698855220873,0.0037430779099534546,0.010330706899431094,-0.016601443620079377,0.0015401378323634492,0.0030672754733635753,0.0038862807454741106,-0.0007625366950651136,0.014941188445125089,-0.006913200582717405
"('Land_app', 'MFEK')",-0.004988962672516386,-0.00694243062420945,-0.009907568672246668,-0.006725858729237123,-0.009242605995151865,-0.0041570938103004705,-0.00038106003086771123,-0.007036754803124174,-0.004871192721736478,-0.002913484607044438,0.0008180834229412975,-0.007701243932716041,0.0003779316296647526,-0.009077569279491304,1.0,-0.006920959903986146,0.0018771549270619838,-0.006087422641545372,-0.0038928441231429584,0.005182936931325538,-0.009439449628542682,-0.003133059167189892,0.0011493721595050312,-0.005880165266787394,-0.0022573382726774095,0.00841963093766557,0.0007832369655100071,0.0014073176253245265,0.0030587409541065784,0.010241202149655314,-0.004630776396995688,-0.005978579189944116,0.00584544404806281,-0.00920645340114,-0.0003507718055959354,-0.01627233410918269,-0.0072860749017545435,0.0041088125559452715,0.008845439136530112,-0.0032846123273861964,-0.006082682245719609,0.001272811843389958,0.012408263343258752,0.011058766234477968,0.0013031414890390812,-0.006478497611747404,0.0001371790197631303,0.007312216279382216,0.0008033060915844882,-0.01693039287430198,0.0031780148859520043
